GBP-IRR ratio,date,date(shamsi)
"171,970",12/25/2019,1398/10/04
"402,180",12/25/2021,1400/10/04
"500,560",12/25/2022,1401/10/04
"172,918",12/26/2019,1398/10/05
"352,410",12/26/2020,1399/10/06
"402,540",12/26/2021,1400/10/05
"500,560",12/26/2022,1401/10/05
"351,960",12/27/2020,1399/10/07
"397,990",12/27/2021,1400/10/06
"172,950",12/28/2019,1398/10/07
"350,160",12/28/2020,1399/10/08
"401,530",12/28/2021,1400/10/07
"529,660",12/28/2022,1401/10/07
"173,660",12/29/2019,1398/10/08
"352,890",12/29/2020,1399/10/09
"404,450",12/29/2021,1400/10/08
"522,590",12/29/2022,1401/10/08
"169,780",12/3/2019,1398/09/12
"350,458",12/3/2020,1399/09/13
"446,210",12/3/2022,1401/09/12
"177,170",12/30/2019,1398/10/09
"353,970",12/30/2020,1399/10/10
"404,450",12/30/2021,1400/10/09
"177,080",12/31/2019,1398/10/10
"352,530",12/31/2020,1399/10/11
"498,260",12/31/2022,1401/10/10
"172,360",12/4/2019,1398/09/13
"403,240",12/4/2021,1400/09/13
"442,790",12/4/2022,1401/09/13
"172,599",12/5/2019,1398/09/14
"350,740",12/5/2020,1399/09/15
"411,180",12/5/2021,1400/09/14
"442,970",12/5/2022,1401/09/14
"347,440",12/6/2020,1399/09/16
"407,250",12/6/2021,1400/09/15
"441,820",12/6/2022,1401/09/15
"177,490",12/7/2019,1398/09/16
"349,150",12/7/2020,1399/09/17
"407,390",12/7/2021,1400/09/16
"444,440",12/7/2022,1401/09/16
"182,330",12/8/2019,1398/09/17
"354,480",12/8/2020,1399/09/18
"406,800",12/8/2021,1400/09/17
"449,801",12/8/2022,1401/09/17
"179,820",12/9/2019,1398/09/18
"350,200",12/9/2020,1399/09/19
"406,800",12/9/2021,1400/09/18
"179,690",2/1/2020,1398/11/12
"335,330",2/1/2021,1399/11/13
"371,580",2/1/2022,1400/11/12
"556,600",2/1/2023,1401/11/12
"181,050",2/10/2020,1398/11/21
"358,060",2/10/2022,1400/11/21
"359,420",2/11/2021,1399/11/23
"183,040",2/12/2020,1398/11/23
"366,380",2/12/2022,1400/11/23
"553,590",2/12/2023,1401/11/23
"183,040",2/13/2020,1398/11/24
"359,840",2/13/2021,1399/11/25
"366,530",2/13/2022,1400/11/24
"558,090",2/13/2023,1401/11/24
"357,730",2/14/2021,1399/11/26
"363,090",2/14/2022,1400/11/25
"573,850",2/14/2023,1401/11/25
"185,780",2/15/2020,1398/11/26
"366,910",2/15/2021,1399/11/27
"573,813",2/15/2023,1401/11/26
"185,160",2/16/2020,1398/11/27
"360,150",2/16/2021,1399/11/28
"360,580",2/16/2022,1400/11/27
"573,590",2/16/2023,1401/11/27
"188,350",2/17/2020,1398/11/28
"365,420",2/17/2021,1399/11/29
"358,392",2/17/2022,1400/11/28
"186,520",2/18/2020,1398/11/29
"365,420",2/18/2021,1399/11/30
"185,890",2/19/2020,1398/11/30
"348,160",2/19/2022,1400/11/30
"600,350",2/19/2023,1401/11/30
"177,730",2/2/2020,1398/11/13
"329,990",2/2/2021,1399/11/14
"372,120",2/2/2022,1400/11/13
"553,550",2/2/2023,1401/11/13
"185,890",2/20/2020,1398/12/01
"349,280",2/20/2021,1399/12/02
"354,090",2/20/2022,1400/12/01
"604,640",2/20/2023,1401/12/01
"347,280",2/21/2021,1399/12/03
"356,900",2/21/2022,1400/12/02
"615,750",2/21/2023,1401/12/02
"199,880",2/22/2020,1398/12/03
"357,740",2/22/2021,1399/12/04
"354,650",2/22/2022,1400/12/03
"650,000",2/22/2023,1401/12/03
"202,470",2/23/2020,1398/12/04
"361,410",2/23/2021,1399/12/05
"352,700",2/23/2022,1400/12/04
"629,000",2/23/2023,1401/12/04
"204,220",2/24/2020,1398/12/05
"361,410",2/24/2021,1399/12/06
"352,700",2/24/2022,1400/12/05
"202,730",2/25/2020,1398/12/06
"636,000",2/25/2023,1401/12/06
"203,140",2/26/2020,1398/12/07
"352,650",2/26/2022,1400/12/07
"623,524",2/26/2023,1401/12/07
"203,140",2/27/2020,1398/12/08
"356,270",2/27/2021,1399/12/09
"352,060",2/27/2022,1400/12/08
"612,872",2/27/2023,1401/12/08
"357,760",2/28/2021,1399/12/10
"352,060",2/28/2022,1400/12/09
"616,834",2/28/2023,1401/12/09
"199,490",2/29/2020,1398/12/10
"177,630",2/3/2020,1398/11/14
"330,010",2/3/2021,1399/11/15
"372,120",2/3/2022,1400/11/14
"178,390",2/4/2020,1398/11/15
"330,010",2/4/2021,1399/11/16
"178,010",2/5/2020,1398/11/16
"363,970",2/5/2022,1400/11/16
"536,210",2/5/2023,1401/11/16
"178,010",2/6/2020,1398/11/17
"337,800",2/6/2021,1399/11/18
"359,890",2/6/2022,1400/11/17
"531,530",2/6/2023,1401/11/17
"345,960",2/7/2021,1399/11/19
"355,090",2/7/2022,1400/11/18
"537,980",2/7/2023,1401/11/18
"179,830",2/8/2020,1398/11/19
"349,720",2/8/2021,1399/11/20
"357,440",2/8/2022,1400/11/19
"546,800",2/8/2023,1401/11/19
"181,050",2/9/2020,1398/11/20
"349,720",2/9/2021,1399/11/21
"358,060",2/9/2022,1400/11/20
"553,710",2/9/2023,1401/11/20
"201,380",3/1/2020,1398/12/11
